Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
LTC,2018-05-31,117.4750533683,118.9746616935,119.6286275954,117.0067612109
LTC,2018-06-01,119.9346762689,118.3070523514,120.4526525082,117.3908156999
LTC,2018-06-02,123.2226935888,120.1718532804,124.2293944466,118.5423596081
LTC,2018-06-03,125.3654564673,123.5006740386,127.920241938,122.112908442
LTC,2018-06-04,119.5220032818,124.8695380451,126.8838124954,118.3036332519
LTC,2018-06-05,122.0786685984,119.5220068547,122.4325799152,115.9900317866
LTC,2018-06-06,121.48485,121.99,122.64,118.49
LTC,2018-06-07,121.49021883,121.48485,123.59416902,119.6461564
LTC,2018-06-08,120.06903171,121.4987433,121.991948,118.3351035429
LTC,2018-06-09,117.3717,120.06903171,120.9816051,117.0136415
LTC,2018-06-10,106.85,117.3717,117.4107415,103.37
LTC,2018-06-11,105.8583130036,103.5712455063,106.6005511571,103.4373988872
LTC,2018-06-12,99.5200175134,107.0654403285,107.8228765561,97.6106517104
LTC,2018-06-13,93.571583976,99.5200607967,100.2225223598,89.0116371899
LTC,2018-06-14,100.2611172109,93.5306561464,102.1735375603,92.6452840639
LTC,2018-06-15,95.2237245853,100.4538266833,100.860362288,95.2095057852
LTC,2018-06-16,97.3550946372,95.2237253734,97.4615920774,92.7910751482
LTC,2018-06-17,95.5891234757,96.6032526639,97.8484822037,94.8145510788
LTC,2018-06-18,98.6126901941,94.8344287866,99.6096157459,93.0310029443
LTC,2018-06-19,98.4331712488,98.4748260843,100.9094906635,96.9747204084
LTC,2018-06-20,97.8996789902,98.5898594622,98.9690264454,95.6073878826
LTC,2018-06-21,96.60616367,97.8461234556,98.9648540119,96.0250932506
LTC,2018-06-22,86.7283157477,96.6026347562,96.6879017073,83.0069811094
LTC,2018-06-23,84.7264973189,86.2737295781,87.9888794541,82.6878979329
LTC,2018-06-24,82.5895210202,84.6985938668,84.8869111395,76.3134687537
LTC,2018-06-25,81.7362534487,81.9420390471,83.0830856672,79.1713513961
LTC,2018-06-26,77.1033417842,81.7440222253,82.4167374573,76.7756524625
LTC,2018-06-27,80.8098335977,77.0997764816,80.985241536,74.9277745816
LTC,2018-06-28,76.6601962386,80.8549936623,81.7434012448,76.0748488192
LTC,2018-06-29,79.6854526454,76.7046462992,80.1256541367,72.6077694759
LTC,2018-06-30,79.8201678926,79.6269593005,83.6541534723,78.4143377093
LTC,2018-07-01,79.9724822897,81.3266073719,81.7067890428,77.8325373014
LTC,2018-07-02,85.7995992349,79.9969360702,86.7175170713,78.2215828082
LTC,2018-07-03,84.6470314891,85.7812419905,89.7744894328,84.3339820007
LTC,2018-07-04,86.240242068,84.9735118217,88.9881053845,83.4090313163
