Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
DOGE,2019-06-19,0.0031347388,0.0030497083,0.0031491949,0.0029686267
DOGE,2019-06-20,0.003143498,0.0031347388,0.0031979783,0.0029556093
DOGE,2019-06-21,0.0031868634,0.003143498,0.0032735036,0.0030064049
DOGE,2019-06-22,0.0032340358,0.0032669845,0.003426414,0.0031194747
DOGE,2019-06-23,0.0033544806,0.0032337093,0.0034447786,0.0031673627
DOGE,2019-06-24,0.0033028233,0.0033544854,0.0034365007,0.0031322286
DOGE,2019-06-25,0.003266447,0.0033028233,0.0034882585,0.0031557221
DOGE,2019-06-26,0.0032141307,0.003266447,0.003447344,0.0030462322
DOGE,2019-06-27,0.0034279583,0.0032141307,0.0036456737,0.0028299534
DOGE,2019-06-28,0.003442683,0.00336822,0.0035888065,0.0032161032
DOGE,2019-06-29,0.0034805702,0.0033585637,0.003514356,0.003123429
DOGE,2019-06-30,0.0032754379,0.0034805702,0.003512884,0.0031595399
DOGE,2019-07-01,0.0031686798,0.0032754379,0.0033559314,0.0029379201
DOGE,2019-07-02,0.0031438092,0.0032366954,0.0033005433,0.0029512206
DOGE,2019-07-03,0.0032241032,0.0031299644,0.0033410367,0.0030065813
DOGE,2019-07-04,0.0032726165,0.0032241032,0.0034500789,0.003034529
DOGE,2019-07-05,0.0037244573,0.003227263,0.0046100966,0.0030471971
DOGE,2019-07-06,0.0034788368,0.0037244573,0.0039916882,0.0033282774
DOGE,2019-07-07,0.0036485865,0.003471453,0.0037018661,0.0033444798
DOGE,2019-07-08,0.0035402902,0.003647709,0.003672371,0.0033897402
DOGE,2019-07-09,0.0034428662,0.0035401473,0.0036042527,0.0033506723
DOGE,2019-07-10,0.0033684524,0.0035006469,0.0036050828,0.0031886067
DOGE,2019-07-11,0.0032031106,0.0033687834,0.0033905578,0.0030541606
DOGE,2019-07-12,0.003265816,0.0032035622,0.0033865625,0.0031474421
DOGE,2019-07-13,0.0032450172,0.0032667847,0.0032983538,0.0030774826
DOGE,2019-07-14,0.0029681533,0.0032788618,0.0032904105,0.0029188845
DOGE,2019-07-15,0.0030835647,0.0029680972,0.0031128739,0.0027983186
DOGE,2019-07-16,0.0027958167,0.0030833962,0.0031735055,0.0027177783
DOGE,2019-07-17,0.0029023204,0.002804469,0.0030532341,0.0027080475
DOGE,2019-07-18,0.0030815175,0.0029034734,0.0031543174,0.0027450663
