Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ADA,2018-08-07,0.1244358338,0.1282858333,0.1327626137,0.1231941281
ADA,2018-08-08,0.1134840804,0.1242145598,0.1243318613,0.1101828846
ADA,2018-08-09,0.125783797,0.1134642241,0.1264725062,0.1123274049
ADA,2018-08-10,0.1125136055,0.1256994892,0.1258206202,0.11197147
ADA,2018-08-11,0.1134288135,0.1133775484,0.1163059409,0.1076732118
ADA,2018-08-12,0.1120514024,0.113430905,0.1149783671,0.1091124128
ADA,2018-08-13,0.1028061981,0.1120513597,0.1146041126,0.1022969291
ADA,2018-08-14,0.0921383919,0.1029371434,0.1038476119,0.0852110308
ADA,2018-08-15,0.0955887682,0.0943379624,0.1019143371,0.0942607541
ADA,2018-08-16,0.0941600526,0.0955915422,0.0986731614,0.0921746032
ADA,2018-08-17,0.1094931803,0.0941831913,0.1098672403,0.0935718473
ADA,2018-08-18,0.099740132,0.109627951,0.1126448855,0.0956186161
ADA,2018-08-19,0.1027434348,0.0986745883,0.1037184391,0.0966231262
ADA,2018-08-20,0.0945525208,0.1027431163,0.1032559673,0.0941121215
ADA,2018-08-21,0.0948351967,0.0923815336,0.095653691,0.0910001968
ADA,2018-08-22,0.0894342669,0.0948376972,0.1010914026,0.0872127864
ADA,2018-08-23,0.0920284642,0.0898180552,0.0942050577,0.0887020044
ADA,2018-08-24,0.0941731298,0.0925548361,0.0947279767,0.0906460957
ADA,2018-08-25,0.0944794842,0.0940573917,0.0947533429,0.0920366243
ADA,2018-08-26,0.0926071701,0.0944531899,0.0950728711,0.0906222649
ADA,2018-08-27,0.0986868457,0.0932097901,0.0989088231,0.0922250644
ADA,2018-08-28,0.1062333743,0.0985366903,0.1074975417,0.0985000591
ADA,2018-08-29,0.1080630886,0.1056550224,0.1092548345,0.1015827723
ADA,2018-08-30,0.0999645346,0.1057041717,0.1077266912,0.0968155423
ADA,2018-08-31,0.1018445927,0.099964744,0.1034376663,0.0986141238
ADA,2018-09-01,0.1076289587,0.1018445927,0.1102669222,0.1015387224
ADA,2018-09-02,0.1056239311,0.1076207506,0.1081919253,0.103055956
ADA,2018-09-03,0.120253112,0.1057735493,0.1228859784,0.1043907588
ADA,2018-09-04,0.1163515241,0.1194147688,0.1290590304,0.1159407352
ADA,2018-09-05,0.0924133332,0.115590841,0.1174134314,0.0891155179
ADA,2018-09-06,0.0892947918,0.0924134131,0.0987691254,0.0829596413
ADA,2018-09-07,0.0847907703,0.0905047941,0.0913436292,0.0834538373
ADA,2018-09-08,0.0777681623,0.0847869501,0.0857604704,0.0775848477
ADA,2018-09-09,0.0768730116,0.0781059086,0.0815169853,0.0742689465
ADA,2018-09-10,0.073392372,0.0768770322,0.0788312863,0.0718977438
ADA,2018-09-11,0.0700894216,0.0733784448,0.0750645372,0.0663095034
ADA,2018-09-12,0.0658406774,0.0700206914,0.0706903655,0.0613111383
ADA,2018-09-13,0.0698418413,0.0665296126,0.0714690166,0.0653148736
ADA,2018-09-14,0.0695399435,0.0699132383,0.0712187876,0.0659644472
ADA,2018-09-15,0.069883663,0.0680898491,0.0709576952,0.06791603
ADA,2018-09-16,0.069941468,0.0693481308,0.0703103901,0.0663935752
ADA,2018-09-17,0.0635541667,0.0699410766,0.0705297741,0.0630415138
ADA,2018-09-18,0.0692630213,0.0635787441,0.0704388285,0.0623419661
ADA,2018-09-19,0.0714734999,0.0692725693,0.0745937689,0.0664986849
ADA,2018-09-20,0.0833291149,0.0721249231,0.0867013859,0.0711989892
ADA,2018-09-21,0.0865541439,0.0833291149,0.0920633302,0.081896236
ADA,2018-09-22,0.0874982016,0.086553767,0.089081436,0.0820579686
ADA,2018-09-23,0.0912746727,0.0874982016,0.0951379439,0.087278229
ADA,2018-09-24,0.0800618146,0.0912634968,0.0914268346,0.0780466075
ADA,2018-09-25,0.0776640012,0.0800618147,0.082369732,0.0749831273
ADA,2018-09-26,0.0815760471,0.0776380296,0.0837426116,0.0770828845
ADA,2018-09-27,0.0865967903,0.0815783792,0.089190321,0.0785191575
ADA,2018-09-28,0.0820362758,0.086626364,0.0887684652,0.0814691248
ADA,2018-09-29,0.0856058821,0.0820235167,0.0870484022,0.0814853159
ADA,2018-09-30,0.0861637273,0.0856340773,0.0880272297,0.0837150931
ADA,2018-10-01,0.0850555558,0.0861626245,0.0864010036,0.0830591885
ADA,2018-10-02,0.0833639211,0.0829105579,0.0840692941,0.0827574269
ADA,2018-10-03,0.0805227963,0.0834574739,0.0834821065,0.0784813507
ADA,2018-10-04,0.0824155134,0.0811244261,0.0834731546,0.0807265851
ADA,2018-10-05,0.0833783591,0.0824153387,0.0845132086,0.08090819
ADA,2018-10-06,0.0816628739,0.0836908576,0.0843587838,0.0810173095
ADA,2018-10-07,0.0838042275,0.0816628915,0.0845306761,0.0807217192
ADA,2018-10-08,0.0871322011,0.0850564151,0.0890072331,0.0838716339
ADA,2018-10-09,0.0885517733,0.0871321887,0.0886577618,0.0849738542
ADA,2018-10-10,0.0854841078,0.0885506751,0.0886280212,0.084500201
ADA,2018-10-11,0.0741200529,0.0856395556,0.0856935589,0.0729863516
ADA,2018-10-12,0.0745757441,0.0741101877,0.0769974178,0.0695138714
ADA,2018-10-13,0.0739269457,0.0745719139,0.0756815681,0.0731655771
ADA,2018-10-14,0.0754063564,0.0738497525,0.07635513,0.0729562086
