Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
FIL,2021-04-18,158.0664328455,181.3445045655,183.4614597845,131.8555323549
FIL,2021-04-19,156.2290761405,156.6846892035,164.7049574872,151.4412569863
FIL,2021-04-20,154.0884716431,155.0230160038,158.0680235072,145.3635681924
FIL,2021-04-21,150.4660286973,154.0628708423,158.8878711034,149.9637523351
FIL,2021-04-22,147.8359304232,147.7948796918,157.9188997484,144.4763527439
FIL,2021-04-23,135.5817920526,145.9542721369,147.9217946009,130.1057198517
FIL,2021-04-24,136.2992635747,138.8070160616,139.567763356,131.5961787985
FIL,2021-04-25,133.236917568,133.9054974369,137.113132788,131.940190333
FIL,2021-04-26,152.5227097377,134.2415630571,154.937339054,133.699367927
FIL,2021-04-27,152.4274928012,154.3993918851,155.3581849117,148.4022906479
FIL,2021-04-28,150.1453684442,152.5725773044,156.0324038462,146.6995692025
FIL,2021-04-29,150.071593689,151.066394153,152.2768023897,147.7373590647
FIL,2021-04-30,164.1002538906,149.8726889156,165.1569856527,149.7841053684
FIL,2021-05-01,164.0054246294,164.0089342368,167.6722627429,161.3099987355
FIL,2021-05-02,158.9008680238,164.3186961761,166.7379654865,156.5479193975
FIL,2021-05-03,160.5683958238,162.6336402912,164.0202508371,159.0088639988
FIL,2021-05-04,142.3404481055,160.3528599644,160.554900108,136.0167686804
FIL,2021-05-05,151.2731471767,140.923816908,154.9463074171,139.8266638515
FIL,2021-05-06,154.4545194726,152.4906453924,164.3786764989,149.7558967499
FIL,2021-05-07,149.4244194338,153.6853297966,154.9604354456,149.2659533887
FIL,2021-05-08,149.1305967797,150.5855050092,154.4393156425,147.3134016725
FIL,2021-05-09,144.7992650029,148.3537896888,149.7934111574,141.3675989729
FIL,2021-05-10,136.8896266339,146.660564544,149.4331430459,129.8679727951
FIL,2021-05-11,141.9869128754,135.8768570701,142.6798269599,134.4498523549
FIL,2021-05-12,133.6181836109,143.17286409,145.7724274019,132.3114273741
FIL,2021-05-13,115.3011796051,126.9768751035,127.6568267961,91.8113247427
FIL,2021-05-14,118.8230937672,117.8673444331,125.0363533517,114.1205760946
FIL,2021-05-15,111.301846093,120.8170640453,122.9057398109,110.1864262089
FIL,2021-05-16,105.7261684797,110.5644649383,116.1521149973,100.4410275728
